the  [ðə; ði]
before  [bɪˈfɔːr]
near  [nɪr]
movement  [ˈmuːvmənt]
page  [peɪdʒ]
enter  [ˈentər]
share  [ʃer]
than  [ðæn; ðən]
common  [ˈkɑːmən]
poor  [pʊr]
other  [ˈʌðər]
natural  [ˈnætʃ(ə)rəl]
race  [reɪs]
concern  [kənˈsɜːrn]
series  [ˈsɪriːz]
significant  [sɪɡˈnɪfɪkənt]
similar  [ˈsɪmələr]
hot  [hɑːt]
language  [ˈlæŋɡwɪdʒ]
each  [iːtʃ]
usually  [ˈjuːʒuəli]
response  [rɪˈspɑːns]
dead  [ded]
rise  [raɪz]
animal  [ˈænɪm(ə)l]
factor  [ˈfæktər]
decade  [ˈdekeɪd]
article  [ˈɑːrtɪk(ə)l]
shoot  [ʃuːt]
east  [iːst]
save  [seɪv]
seven  [ˈsev(ə)n]
artist  [ˈɑːrtɪst]
away  [əˈweɪ]
scene  [siːn]
stock  [stɑːk]
career  [kəˈrɪr]
despite  [dɪˈspaɪt]
central  [ˈsentrəl]
eight  [eɪt]
thus  [ðʌs]
treatment  [ˈtriːtmənt]
beyond  [bɪˈjɑːnd]
happy  [ˈhæpi]
exactly  [ɪɡˈzæktli]
protect  [prəˈtekt]
approach  [əˈproʊtʃ]
lie  [laɪ]
size  [saɪz]
dog  [dɔːɡ]
fund  [fʌnd]
serious  [ˈsɪriəs]
occur  [əˈkɜːr]
media  [ˈmiːdiə]
ready  [ˈredi]
sign  [saɪn]
thought  [θɔːt]
list  [lɪst]
individual  [ˌɪndɪˈvɪdʒuəl]
simple  [ˈsɪmp(ə)l]
quality  [ˈkwɑːləti]
pressure  [ˈpreʃər]
accept  [əkˈsept]
answer  [ˈænsər]
hard  [hɑːrd]
resource  [ˈriːsɔːrs]
identify  [aɪˈdentɪfaɪ]
left  [left]
meeting  [ˈmiːtɪŋ]
determine  [dɪˈtɜːrmɪn]
prepare  [prɪˈper]
disease  [dɪˈziːz]
whatever  [wətˈevər]
success  [səkˈses]
argue  [ˈɑːrɡjuː]
cup  [kʌp]
particularly  [pərˈtɪkjələrli]
amount  [əˈmaʊnt]
ability  [əˈbɪləti]
staff  [stæf]
recognize  [ˈrekəɡnaɪz]
indicate  [ˈɪndɪkeɪt]
character  [ˈkærəktər]
growth  [ɡroʊθ]
loss  [lɔːs]
degree  [dɪˈɡriː]
wonder  [ˈwʌndər]
attack  [əˈtæk]
herself  [hɜːrˈself]
region  [ˈriːdʒən]
television  [ˈtelɪvɪʒ(ə)n]
box  [bɑːks]
TV  [ˌtiː ˈviː]
training  [ˈtreɪnɪŋ]
pretty  [ˈprɪti]
trade  [treɪd]
deal  [diːl]
election  [ɪˈlekʃ(ə)n]
everybody  [ˈevribɑːdi; ˈevribʌdi]
physical  [ˈfɪzɪk(ə)l]
lay  [leɪ]
general  [ˈdʒen(ə)rəl]
feeling  [ˈfiːlɪŋ]
standard  [ˈstændərd]
bill  [bɪl]
message  [ˈmesɪdʒ]
fail  [feɪl]
outside  [ˌaʊtˈsaɪd]
arrive  [əˈraɪv]
analysis  [əˈnæləsɪs]
benefit  [ˈbenɪfɪt]
name  [neɪm]
sex  [seks]
forward  [ˈfɔːrwərd]
lawyer  [ˈlɔɪər]
present  [ˈprez(ə)nt]
section  [ˈsekʃ(ə)n]
environmental  [ɪnˌvaɪrənˈment(ə)l]
glass  [ɡlæs]
answer  [ˈænsər]
skill  [skɪl]
sister  [ˈsɪstər]
PM  [ˌpiː ˈem]
professor  [prəˈfesər]
operation  [ˌɑːpəˈreɪʃ(ə)n]
financial  [faɪˈnænʃ(ə)l]
crime  [kraɪm]
stage  [steɪdʒ]
ok  [oʊˈkeɪ]
compare  [kəmˈper]
authority  [əˈθɔːrəti]
miss  [mɪs]
design  [dɪˈzaɪn]
sort  [sɔːrt]
one  [wʌn]
act  [ækt]
ten  [ten]
knowledge  [ˈnɑːlɪdʒ]
gun  [ɡʌn]
station  [ˈsteɪʃ(ə)n]
blue  [bluː]
state  [steɪt]
strategy  [ˈstrætədʒi]
little  [ˈlɪt(ə)l]
clearly  [ˈklɪrli]
discuss  [dɪˈskʌs]
indeed  [ɪnˈdiːd]
force  [fɔːrs]
truth  [truːθ]
song  [sɔŋ]
example  [ɪɡˈzæmp(ə)l]
democratic  [ˌdeməˈkrætɪk]
check  [tʃek]
environment  [ɪnˈvaɪrənmənt]
leg  [leɡ]
dark  [dɑːrk]
public  [ˈpʌblɪk]
various  [ˈveriəs]
rather  [ˈræðər]
laugh  [læf]
guess  [ɡes]
executive  [ɪɡˈzekjətɪv]
set  [set]
study  [ˈstʌdi]
prove  [pruːv]
hang  [hæŋ]
entire  [ɪnˈtaɪər]
rock  [rɑːk]
design  [dɪˈzaɪn]
enough  [ɪˈnʌf]
forget  [fərˈɡet]
since  [sɪns]
claim  [kleɪm]
note  [noʊt]
remove  [rɪˈmuːv]
manager  [ˈmænɪdʒər]
help  [help]
close  [kloʊz]
sound  [saʊnd]
enjoy  [ɪnˈdʒɔɪ]
network  [ˈnetwɜːrk]
legal  [ˈliːɡ(ə)l]
religious  [rɪˈlɪdʒəs]
cold  [koʊld]
form  [fɔːrm]
final  [ˈfaɪn(ə)l]
main  [meɪn]
science  [ˈsaɪəns]
green  [ɡriːn]
memory  [ˈmeməri]
card  [kɑːrd]
above  [əˈbʌv]
seat  [siːt]
cell  [sel]
establish  [ɪˈstæblɪʃ]
nice  [naɪs]
trial  [ˈtraɪəl]
expert  [ˈekspɜːrt]
that  [ðæt]
spring  [sprɪŋ]
firm  [fɜːrm]
Democrat  [ˈdeməkræt]
radio  [ˈreɪdioʊ]
visit  [ˈvɪzɪt]
management  [ˈmænɪdʒmənt]
care  [ker]
avoid  [əˈvɔɪd]
imagine  [ɪˈmædʒɪn]
tonight  [təˈnaɪt]
huge  [hjuːdʒ]
ball  [bɔːl]
no  [noʊ]
close  [kloʊz]
finish  [ˈfɪnɪʃ]
yourself  [jɔːrˈself]
talk  [tɔːk]
theory  [ˈθiːəri]
impact  [ˈɪmpækt]
respond  [rɪˈspɑːnd]
statement  [ˈsteɪtmənt]
maintain  [meɪnˈteɪn]
charge  [tʃɑːrdʒ]
popular  [ˈpɑːpjələr]
traditional  [trəˈdɪʃən(ə)l]
onto  [ˈɑːntə]
reveal  [rɪˈviːl]
direction  [dəˈrekʃn; daɪˈrekʃn]
weapon  [ˈwepən]
employee  [ɪmˈplɔɪiː]
cultural  [ˈkʌltʃərəl]
contain  [kənˈteɪn]
peace  [piːs]
head  [hed]
control  [kənˈtroʊl]
base  [beɪs]
pain  [peɪn]
apply  [əˈplaɪ]
play  [pleɪ]
measure  [ˈmeʒər]
wide  [waɪd]
shake  [ʃeɪk]
fly  [flaɪ]
interview  [ˈɪntərvjuː]
manage  [ˈmænɪdʒ]
chair  [tʃer]
fish  [fɪʃ]
particular  [pərˈtɪkjələr]
camera  [ˈkæm(ə)rə]
structure  [ˈstrʌktʃər]
politics  [ˈpɑːlətɪks]
perform  [pərˈfɔːrm]
bit  [bɪt]
weight  [weɪt]
suddenly  [ˈsʌd(ə)nli]
discover  [dɪˈskʌvər]
candidate  [ˈkændɪdət]
top  [tɑːp]
production  [prəˈdʌkʃn]
treat  [triːt]
trip  [trɪp]
evening  [ˈiːvnɪŋ]
affect  [əˈfekt]
inside  [ˌɪnˈsaɪd]
conference  [ˈkɑːnfərəns]
unit  [ˈjuːnɪt]
best  [best]
style  [staɪl]
adult  [əˈdʌlt; ˈædʌlt]
worry  [ˈwɜːri]
range  [reɪndʒ]
mention  [ˈmenʃ(ə)n]
rather  [ˈræðər]
far  [fɑːr]
deep  [diːp]
past  [pæst]
edge  [edʒ]
individual  [ˌɪndɪˈvɪdʒuəl]
specific  [spəˈsɪfɪk]
writer  [ˈraɪtər]
trouble  [ˈtrʌb(ə)l]
necessary  [ˈnesəseri]
throughout  [θruːˈaʊt]
challenge  [ˈtʃælɪndʒ]
fear  [fɪr]
shoulder  [ˈʃoʊldər]
institution  [ˌɪnstɪˈtuːʃ(ə)n]
middle  [ˈmɪd(ə)l]
sea  [siː]
dream  [driːm]
bar  [bɑːr]
beautiful  [ˈbjuːtɪf(ə)l]
property  [ˈprɑːpərti]
instead  [ɪnˈsted]
improve  [ɪmˈpruːv]
stuff  [stʌf]
detail  [ˈdiːteɪl]
method  [ˈmeθəd]
sign  [saɪn]
somebody  [ˈsʌmbɑːdi]
magazine  [ˈmæɡəziːn]
hotel  [hoʊˈtel]
soldier  [ˈsoʊldʒər]
reflect  [rɪˈflekt]
heavy  [ˈhevi]
sexual  [ˈsekʃuəl]
cause  [kɔːz]
bag  [bæɡ]
heat  [hiːt]
fall  [fɔːl]
marriage  [ˈmærɪdʒ]
tough  [tʌf]
sing  [sɪŋ]
surface  [ˈsɜːrfɪs]
purpose  [ˈpɜːrpəs]
exist  [ɪɡˈzɪst]
pattern  [ˈpætərn]
whom  [huːm]
skin  [skɪn]
agent  [ˈeɪdʒənt]
owner  [ˈoʊnər]
machine  [məˈʃiːn]
gas  [ɡæs]
down  [daʊn]
ahead  [əˈhed]
generation  [ˌdʒenəˈreɪʃ(ə)n]
commercial  [kəˈmɜːrʃ(ə)l]
address  [əˈdres]
cancer  [ˈkænsər]
test  [test]
item  [ˈaɪtəm]
reality  [riˈæləti]
coach  [koʊtʃ]
step  [step]
Mrs  [ˈmɪsɪz]
yard  [jɑːrd]
beat  [biːt]
violence  [ˈvaɪələns]
total  [ˈtoʊt(ə)l]
tend  [tend]
investment  [ɪnˈvestmənt]
discussion  [dɪˈskʌʃ(ə)n]
finger  [ˈfɪŋɡər]
garden  [ˈɡɑːrdn]
notice  [ˈnoʊtɪs]
collection  [kəˈlekʃ(ə)n]
modern  [ˈmɑːdərn]
task  [tæsk]
partner  [ˈpɑːrtnər]
positive  [ˈpɑːzətɪv]
civil  [ˈsɪv(ə)l]
kitchen  [ˈkɪtʃɪn]
consumer  [kənˈsuːmər]
shot  [ʃɑːt]
budget  [ˈbʌdʒɪt]
wish  [wɪʃ]
painting  [ˈpeɪntɪŋ]
scientist  [ˈsaɪəntɪst]
safe  [seɪf]
agreement  [əˈɡriːmənt]
capital  [ˈkæpɪt(ə)l]
mouth  [maʊθ]
nor  [nɔːr]
victim  [ˈvɪktɪm]
newspaper  [ˈnuːzpeɪpər]
instead  [ɪnˈsted]
threat  [θret]
responsibility  [rɪˌspɑːnsəˈbɪləti]
smile  [smaɪl]
